image_id,label
test_1000a,candy
test_1000b,honey
test_1000c,vinegar
test_1000d,water
test_1001a,candy
test_1001b,chocolate
test_1001c,juice
test_1001d,honey
test_1002a,sugar
test_1002b,juice
test_1002c,jam
test_1002d,sugar
test_1003a,candy
test_1003b,sugar
test_1003c,honey
test_1003d,juice
test_1004a,soda
test_1004b,rice
test_1004c,juice
test_1004d,pasta
test_1005a,vinegar
test_1005b,cake
test_1005c,juice
test_1005d,candy
test_1006a,nuts
test_1006b,tea
test_1006c,tomatosauce
test_1006d,vinegar
test_1007a,juice
test_1007b,water
test_1007c,cake
test_1007d,honey
test_1008a,soda
test_1008b,flour
test_1008c,cake
test_1008d,vinegar
test_1009a,water
test_1009b,vinegar
test_1009c,tea
test_1009d,honey
test_1010a,chocolate
test_1010b,chips
test_1010c,water
test_1010d,juice
test_1011a,beans
test_1011b,juice
test_1011c,beans
test_1011d,pasta
test_1012a,candy
test_1012b,spices
test_1012c,tea
test_1012d,juice
test_1013a,candy
test_1013b,candy
test_1013c,coffee
test_1013d,jam
test_1014a,candy
test_1014b,coffee
test_1014c,soda
test_1014d,honey
test_1015a,pasta
test_1015b,soda
test_1015c,tomatosauce
test_1015d,cereal
test_1016a,juice
test_1016b,beans
test_1016c,tea
test_1016d,vinegar
test_1017a,rice
test_1017b,tea
test_1017c,tea
test_1017d,tea
test_1018a,candy
test_1018b,chocolate
test_1018c,coffee
test_1018d,candy
test_1019a,milk
test_1019b,vinegar
test_1019c,tea
test_1019d,honey
test_1020a,water
test_1020b,cake
test_1020c,oil
test_1020d,cereal
test_1021a,honey
test_1021b,oil
test_1021c,cereal
test_1021d,rice
test_1022a,oil
test_1022b,juice
test_1022c,chips
test_1022d,cereal
test_1023a,sugar
test_1023b,candy
test_1023c,cereal
test_1023d,water
test_1024a,spices
test_1024b,pasta
test_1024c,coffee
test_1024d,chips
test_1025a,chips
test_1025b,water
test_1025c,rice
test_1025d,fish
test_1026a,sugar
test_1026b,tea
test_1026c,honey
test_1026d,juice
test_1027a,cake
test_1027b,honey
test_1027c,cereal
test_1027d,oil
test_1028a,tea
test_1028b,tea
test_1028c,nuts
test_1028d,milk
test_1029a,chocolate
test_1029b,pasta
test_1029c,soda
test_1029d,chips
test_1030a,tea
test_1030b,soda
test_1030c,beans
test_1030d,jam
test_1031a,sugar
test_1031b,soda
test_1031c,honey
test_1031d,rice
test_1032a,honey
test_1032b,vinegar
test_1032c,soda
test_1032d,tea
test_1033a,flour
test_1033b,water
test_1033c,chocolate
test_1033d,sugar
test_1034a,oil
test_1034b,fish
test_1034c,soda
test_1034d,spices
test_1035a,juice
test_1035b,chocolate
test_1035c,chocolate
test_1035d,soda
test_1036a,chocolate
test_1036b,jam
test_1036c,jam
test_1036d,cereal
test_1037a,chocolate
test_1037b,water
test_1037c,juice
test_1037d,pasta
test_1038a,pasta
test_1038b,flour
test_1038c,rice
test_1038d,honey
test_1039a,tomatosauce
test_1039b,nuts
test_1039c,tea
test_1039d,candy
test_1040a,juice
test_1040b,cereal
test_1040c,tea
test_1040d,coffee
test_1041a,juice
test_1041b,sugar
test_1041c,chocolate
test_1041d,chocolate
test_1042a,beans
test_1042b,juice
test_1042c,sugar
test_1042d,cereal
test_1043a,chocolate
test_1043b,sugar
test_1043c,juice
test_1043d,oil
test_1044a,water
test_1044b,chocolate
test_1044c,soda
test_1044d,cake
test_1045a,coffee
test_1045b,cereal
test_1045c,cereal
test_1045d,chocolate
test_1046a,chips
test_1046b,rice
test_1046c,coffee
test_1046d,soda
test_1047a,coffee
test_1047b,water
test_1047c,juice
test_1047d,tea
test_1048a,fish
test_1048b,chocolate
test_1048c,soda
test_1048d,nuts
test_1049a,milk
test_1049b,chips
test_1049c,juice
test_1049d,coffee
test_1050a,tea
test_1050b,chocolate
test_1050c,coffee
test_1050d,chips
test_1051a,rice
test_1051b,chips
test_1051c,fish
test_1051d,coffee
test_1052a,tomatosauce
test_1052b,beans
test_1052c,juice
test_1052d,cake
test_1053a,milk
test_1053b,sugar
test_1053c,fish
test_1053d,jam
test_1054a,pasta
test_1054b,candy
test_1054c,chocolate
test_1054d,sugar
test_1055a,jam
test_1055b,chocolate
test_1055c,juice
test_1055d,juice
test_1056a,candy
test_1056b,oil
test_1056c,coffee
test_1056d,coffee
test_1057a,sugar
test_1057b,nuts
test_1057c,tomatosauce
test_1057d,jam
test_1058a,beans
test_1058b,cake
test_1058c,jam
test_1058d,chocolate
test_1059a,jam
test_1059b,tea
test_1059c,spices
test_1059d,soda
test_1060a,chocolate
test_1060b,vinegar
test_1060c,juice
test_1060d,candy
test_1061a,milk
test_1061b,cereal
test_1061c,juice
test_1061d,sugar
test_1062a,candy
test_1062b,nuts
test_1062c,cereal
test_1062d,jam
test_1063a,corn
test_1063b,juice
test_1063c,rice
test_1063d,honey
test_1064a,beans
test_1064b,rice
test_1064c,cake
test_1064d,vinegar
test_1065a,water
test_1065b,chips
test_1065c,pasta
test_1065d,cake
test_1066a,chocolate
test_1066b,beans
test_1066c,coffee
test_1066d,jam
test_1067a,beans
test_1067b,soda
test_1067c,water
test_1067d,milk
test_1068a,juice
test_1068b,honey
test_1068c,chocolate
test_1068d,candy
test_1069a,coffee
test_1069b,tea
test_1069c,chocolate
test_1069d,coffee
test_1070a,candy
test_1070b,pasta
test_1070c,juice
test_1070d,nuts
test_1071a,spices
test_1071b,chocolate
test_1071c,tea
test_1071d,water
test_1072a,coffee
test_1072b,rice
test_1072c,soda
test_1072d,soda
test_1073a,chocolate
test_1073b,chips
test_1073c,nuts
test_1073d,water
test_1074a,beans
test_1074b,flour
test_1074c,tea
test_1074d,jam
test_1075a,cake
test_1075b,juice
test_1075c,jam
test_1075d,rice
test_1076a,soda
test_1076b,chocolate
test_1076c,cereal
test_1076d,corn
test_1077a,water
test_1077b,honey
test_1077c,coffee
test_1077d,chips
test_1078a,chocolate
test_1078b,cake
test_1078c,coffee
test_1078d,soda
test_1079a,water
test_1079b,sugar
test_1079c,water
test_1079d,spices
test_1080a,tea
test_1080b,milk
test_1080c,coffee
test_1080d,juice
test_1081a,beans
test_1081b,fish
test_1081c,candy
test_1081d,spices
test_1082a,beans
test_1082b,juice
test_1082c,soda
test_1082d,candy
test_1083a,juice
test_1083b,juice
test_1083c,cake
test_1083d,sugar
test_1084a,tomatosauce
test_1084b,tea
test_1084c,tomatosauce
test_1084d,candy
test_1085a,cereal
test_1085b,juice
test_1085c,chips
test_1085d,honey
test_1086a,coffee
test_1086b,coffee
test_1086c,candy
test_1086d,candy
test_1087a,water
test_1087b,rice
test_1087c,coffee
test_1087d,juice
test_1088a,cake
test_1088b,rice
test_1088c,jam
test_1088d,water
test_1089a,juice
test_1089b,honey
test_1089c,water
test_1089d,candy
test_1090a,juice
test_1090b,pasta
test_1090c,candy
test_1090d,honey
test_1091a,tomatosauce
test_1091b,juice
test_1091c,tea
test_1091d,flour
test_1092a,chocolate
test_1092b,nuts
test_1092c,tea
test_1092d,tea
test_1093a,milk
test_1093b,chocolate
test_1093c,sugar
test_1093d,water
test_1094a,juice
test_1094b,beans
test_1094c,honey
test_1094d,rice
test_1095a,juice
test_1095b,chocolate
test_1095c,soda
test_1095d,chips
test_1096a,fish
test_1096b,chocolate
test_1096c,tea
test_1096d,coffee
test_1097a,soda
test_1097b,juice
test_1097c,soda
test_1097d,soda
test_1098a,candy
test_1098b,cereal
test_1098c,sugar
test_1098d,spices
test_1099a,candy
test_1099b,coffee
test_1099c,nuts
test_1099d,honey
test_1100a,tomatosauce
test_1100b,water
test_1100c,cake
test_1100d,spices
test_1101a,oil
test_1101b,cereal
test_1101c,spices
test_1101d,beans
test_1102a,sugar
test_1102b,candy
test_1102c,candy
test_1102d,coffee
test_1103a,soda
test_1103b,chocolate
test_1103c,milk
test_1103d,water
test_1104a,tea
test_1104b,milk
test_1104c,flour
test_1104d,water
test_1105a,chocolate
test_1105b,honey
test_1105c,jam
test_1105d,candy
test_1106a,spices
test_1106b,coffee
test_1106c,tomatosauce
test_1106d,candy
test_1107a,tea
test_1107b,chocolate
test_1107c,oil
test_1107d,honey
test_1108a,nuts
test_1108b,soda
test_1108c,candy
test_1108d,chips
test_1109a,juice
test_1109b,chocolate
test_1109c,chocolate
test_1109d,nuts
test_1110a,sugar
test_1110b,vinegar
test_1110c,candy
test_1110d,coffee
test_1111a,rice
test_1111b,tea
test_1111c,cereal
test_1111d,pasta
test_1112a,coffee
test_1112b,spices
test_1112c,pasta
test_1112d,chocolate
test_1113a,candy
test_1113b,chocolate
test_1113c,cereal
test_1113d,nuts
test_1114a,juice
test_1114b,cake
test_1114c,honey
test_1114d,coffee
test_1115a,rice
test_1115b,honey
test_1115c,tomatosauce
test_1115d,rice
test_1116a,cereal
test_1116b,juice
test_1116c,juice
test_1116d,nuts
test_1117a,fish
test_1117b,spices
test_1117c,fish
test_1117d,soda
test_1118a,cereal
test_1118b,beans
test_1118c,chips
test_1118d,juice
test_1119a,juice
test_1119b,cereal
test_1119c,milk
test_1119d,jam
test_1120a,soda
test_1120b,vinegar
test_1120c,rice
test_1120d,water
test_1121a,oil
test_1121b,fish
test_1121c,spices
test_1121d,juice
test_1122a,sugar
test_1122b,chocolate
